CustomerID,TotalSpent,TotalOrders,TotalQuantity,LastPurchase,FirstPurchase,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,AverageOrderValue,CustomerLifetime,Churn
12346,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,325,1,77183.6,1,1,5,7,Potential Loyal,77183.6,0,1
12347,4310.0,7,2458,2011-12-07 15:52:00,2010-12-07 14:57:00,1,7,4310.0,5,5,5,15,VIP,615.7142857142857,365,0
12348,1797.24,4,2341,2011-09-25 13:13:00,2010-12-16 19:09:00,74,4,1797.24,2,4,4,10,Loyal,449.31,282,0
12349,1757.55,1,631,2011-11-21 09:51:00,2011-11-21 09:51:00,18,1,1757.55,4,1,4,9,Potential Loyal,1757.55,0,0
12350,334.4,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,309,1,334.4,1,1,2,4,Lost,334.4,0,1
12352,2506.04,8,536,2011-11-03 14:37:00,2011-02-16 12:33:00,35,8,2506.04,3,5,5,13,VIP,313.255,260,0
12353,89.0,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,203,1,89.0,1,1,1,3,Lost,89.0,0,1
12354,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,231,1,1079.4,1,1,4,6,At Risk,1079.4,0,1
12355,459.4,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,213,1,459.4,1,1,2,4,Lost,459.4,0,1
12356,2811.43,3,1591,2011-11-17 08:40:00,2011-01-18 09:50:00,22,3,2811.43,4,3,5,12,Loyal,937.1433333333333,302,0
12357,6207.67,1,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,32,1,6207.67,4,1,5,10,Loyal,6207.67,0,0
12358,1168.06,2,248,2011-12-08 10:26:00,2011-07-12 10:04:00,1,2,1168.06,5,2,4,11,Loyal,584.03,149,0
12359,6310.03,4,1609,2011-10-13 12:47:00,2011-01-12 12:43:00,57,4,6310.03,3,4,5,12,Loyal,1577.5075,274,0
12360,2662.06,3,1165,2011-10-18 15:22:00,2011-05-23 09:43:00,51,3,2662.06,3,3,5,11,Loyal,887.3533333333334,148,0
12361,189.9,1,91,2011-02-25 13:51:00,2011-02-25 13:51:00,286,1,189.9,1,1,1,3,Lost,189.9,0,1
12362,5226.23,10,2229,2011-12-06 15:40:00,2011-02-17 10:30:00,2,10,5226.23,5,5,5,15,VIP,522.6229999999999,292,0
12363,552.0,2,408,2011-08-22 10:18:00,2011-04-11 13:29:00,109,2,552.0,2,2,3,7,Potential Loyal,276.0,132,1
